prompt,completion
add a new contact for daniel bell dbell at a. o. l. dot com,15
alexa play my second playlist,45
save settings,28
train times for tomorrow,42
when was the last time that i spoke to john,17
tell me about blank,22
are there any new snapchats,27
i need you to turn off the light of my bed room,40
who do i think people will care,12
christian rock from one thousand nine hundred and ninety upwards only should be selected and played,45
where's the closest sainsbury's,19
tweet to amazon about late delivery of my t. v.,47
how much,19
what day of the week does july fourth fall on this year,0
is there any event around,6
weather in atlanta,13
set up a meeting with peter francis for monday at two p. m.,50
how old is ryan reynolds,49
tweet a complaint about potholes on road,47
olly recommend a wine tasting event this weekend in chicago,6
can you define a chair,26
define organism,26
can you remind me to check my clothes in a hour,50
what does hesitant mean,26
arrange a taxi,54
give details about the current traffic,11
hey google can you save next monday night for my date with carl,50
what are the things i need for my journey,59
do i have anything on my honey do list,59
give me red lights,1
describe death,26
please play games by disturbed,45
play led zeppelin houses of the holy,45
is it colder than yesterday,13
can you order me some pizza,16
are there trump updates,22
is there any chances of rain this week,13
is there any concerts taking place in new york today,6
remove all of my alarms,52
where can i get shawarma in this area,19
training day,55
what is the best way to live,12
find weather report,13
who is the president of america,49
is susan's birthday on march one,32
olly tell me about my events,32
remind me later,50
please send a complaint about my horrible experience with a company,47
where are the boston redso game playing next,32
what is a transistor,26
show stock of goog,4
could you please send back to pawel this answer,33
light is too much,31
do i have any upcoming reminders,32
send a message on facebook to pending friend requests that my friend list is full and i will be creating a new profile soon,47
turn the left light off,40
search for the best spagetti recipe,9
what does a grapefruit look like,26
when is president's day,49
what's the weather like right now,13
what happened in n. y. c. times square yesterday at noontime,22
i ran five miles today,12
olly most rated delivery options for chinese food,3
list and play all theory podcasts under ten minutes,58
at nikesupport please help me out with some faulty shoes i just bought,47
make this a bit louder,14
order a pizza from pizza express,16
remind me that i have to go see hannah about our math project next tuesday at ten p. m.,50
remind me about my anniversary in advance,50
play the bjork album i've heard the least,45
what were the cities affected by the earthquake,22
tell me when my next meeting is,50
how to cook this food,9
play song by frubs artist,45
notification regarding the new government policies,22
increase the volume so that i can hear it in other room,14
i don't like this song,7
new emails received in past hour,44
respond to jack quickly,33
set the alarm for five am,48
play one thousand nine hundred and ninety nine by prince,45
please save the current song to favorites,43
what's my stock fluctuations,4
what music is playing now nine hundred and ninety nine f. m.,57
have i got any new emails,44
what is the latest on c. n. n.,22
is it going to rain in the evening,13
please show me today's date,0
any death news in times of india,22
what is the longest time to a location,42
please play trivial pursuit with me,51
how to cook crabmeat,9
send a reply email thank you very much to john at gmail dot com,33
on amazon twitter handler tweet a complain about quality of my jeans,47
play next episode of podcast please,58
start over the book legacy,20
turn off the lights,40
what is my astrology report for today,12
cancel all meetings for today,30
hey olly i saw a dog today,12
hey olly what's today's date,0
play music on shuffle,45
get me new mail,44
set a reminder for tomorrow for meeting with allen,50
what is the time of the morning train headed to chicago,42
super song,43
cancel all events for today and mark me busy,30
turn out the lights,18
what's my agenda for the remainder of the week,32
tell me when i get new emails from principal lowry,44
get me a taxi to the airport right now,54
please send an email to uncle john telling him that i will be there,33
tell mom ill be late this evening,13
angelina has a birthday when,49
if it is six am here what time is it in tokyo,38
what is your best joke,25
add to my groceries,21
remind me to pick up john from the airport tonight at eight,50
have i made loss in which stocks,4
can you set an alarm for me,48
make wednesday evening at five p. m. always be a meeting with phil on my calendar,50
olly go to the next episode of the united states of anxiety podcast,58
what's the latest on the train,22
order a pizza,16
i need the lights raised can you do that,18
open grubhub,16
hey google email to caroline how are you can you send me updates on last project cheers tomasz,33
post a status using the latest notes i made in my notepad,47
what's the cheapest marathon to enter within fifty miles of here,12
add haircut to my appointments on saturday afternoon at four,50
olly get me a train ticket to atlanta,42
read my next reminders for this afternoon,32
tell me lexmark's current stock price,4
please check this info on geographics for me,12
please adjust the speakers to a lower more comfortable level,35
please tell me what time it is,0
temperature this hour,13
tell me every day to take green tea at four p. m.,50
olly change light color to blue,1
please read the text i just received on messenger,36
play the next episode of this series,58
make me a new checklist,21
to get more information about a historic event,12
book and pay for a train ticket to denver for saturday,2
can this room have green light,1
what alarms are set in the morning,23
repeating event meeting on mondays,50
when will my food be ready,3
i need to have location services on can you check,12
were any new emails received,44
start radio and go to frequency on one thousand and forty eight,36
list emails for last hour,44
has john sent me a reply via email yet,44
start playing kids by mgmt,45
get rid of peas,53
topography melbourne,49
when monet's exhibition takes place,32
could you tell me about the alerts i have set,23
rewind audiobook by thirty seconds,20
do i need a jacket this afternoon,13
by our scores,13
less stock price,4
please delete this list for me,53
tell funny things,25
i want to hear i got you babe by sonny and cher can you play that,45
remind me about tomorrows meeting tonight,50
turn down the lights in the living room,31
i want you to play the radio,36
add monas wedding even to my calendar for tuesday,50
tell me about lisa ann,49
alarm set for time,48
play the radio music band,36
add that song to my playlist,43
what's the word orange mean,26
name all lists,59
what is the time in the pacific time zone at this very moment,0
how is my schedule for the day,32
what time will i arrive home if i take this train,42
who is janet jackson currently dating or married to,49
tell me my music likes,57
what is the dress code for tonight,32
please send a business email about the time of the meeting change to lauren,33
tell me all the takeaways nearby and i want to order food,3
please note on song title good tune,43
change my music player volume to eighty percent,14
tell me present time in malaysia,0
please keep me up to date on technology please,22
put alarm on,48
please play my music,45
can you put the vacuum on,34
train times to new york,42
what news do you have today,22
celeb news,22
how long is the great wall of china,49
i would like you to add an email to my contacts,15
i don't want to attend the dinner on march first any more so could you remove it from my agenda,30
do i have any openings on my schedule for tomorrow,32
is it cold weather there,13
how tall is lebron james,49
if my package shows that it is for delivery tomorrow can you set up an alarm one hour after thank you,48
change the colors please,1
can you tell me current time,0
any new emails after five p. m.,44
have i received any email from ron in last couple of days,44
name the singer,57
tell me the current weather in new york city,13
is there some play can i go tonight in the city,6
please play the podcast from happypeoplecom,58
what date is tomorrow,32
is it hot or cold outside,13
publish an article in pinterest,47
i would like to have a sushi can you order me a lunch,16
what is the time difference between my location and hong kong,38
what is the weather going to be this weekend,13
could you delete all my appointments on calendar,30
play run,45
tune in to ryan seacrest on the living room radio,36
can you remind me about my meeting tomorrow,50
should i wear a coat to the pool,13
how big is ohio,49
lower the volume please,35
count the number of food items on the list,59
it's dark in the living room,41
current status of take out order,3
what alarms are on right now,23
play me some hihop,45
what is the difference between yesterday's and today's stock prices for walmart,4
can you get me news from ny times,22
show me nearest theater,55
olly please make me a cup of coffee,56
search next station,36
new calendar event for albert's marriage,50
no no turn it down,35
play song,45
play sholay,45
this is my favorite song,43
would you please check to see if i've set my alarm for tomorrow morning,23
tell me movies playing in oceanside tonight,55
please set an alarm for seven hundred and thirty am tomorrow,48
set the alarm tone,48
audio,20
tag you're it,51
do i have any appointments this weekend,32
send a tweet to national grid,47
what's the scoop,22
start a new email to george brown,33
what's it like in chicago,13
play billie jean next,45
can you tell me what alarms i have set,23
set an alarm on wednesday noon so i can register for early adopters program,48
give me a description of a boeing seven four seven,26
play for me the game cricket,51
check email,44
contacts,17
tell me the train ticket price of california to chicago,42
how long does train a take to get to station b.,42
google is my thursday appointment with my dentist,32
send an email to a new address,33
please switch off the light,40
i need to make a list of bills that are due,21
play yesterday's hot ninety seven morning show,36
please play nakumukka song for me,45
give me some bowie,57
did i get an email from jen last night,44
where is yellowstone,49
open the books and play brains book from chap nine,20
how tall are giraffes,49
vacuum the house,34
find a debate about schools in u. k.,58
send email to boss not feeling well taking a sick day,33
on tuesday what is the weather supposed to be,13
set a meeting with tom on tuesday at nine am,50
how cold is it outside,13
please add contact email johndoe at yahoo dot com to john doe's contact information,15
what's on my calendar today,32
save all of my preferences information specific to songs,43
which days will i be working nights in the month of march,32
tell me my lists,59
show them where the keys to internal locks are located in case they have to exit your home quickly,52
what's this weeks weather,13
what shops are around me,19
shut the smart socket down,8
hockey,6
alexa turn off the lamp in the living room,40
customer service from microsoft never called me back,47
delete the item two from the list,53
give me directions to my nearest bank location,42
can you notify the event in my calendar,50
let me hear a joke,25
file storage,12
alexa when will mankind reach the singularity,12
please play the news channel so that i can hear some news,36
what is the breaking news for the day,22
hey olly make me laugh with a good joke,25
tell me the name of the song,57
take off this list,53
find me the recipe for beef stroganoff,9
i want to turn on the robot vacuum cleaner,34
put on a song by celine dion,45
tweet a complaint to donald trump about his horrible performance,47
can you save this song to my favorites,43
please remind me at five p. m. today that i have an event at eight am in the morning,50
how many countries are north of alaska,49
play sam harris audiobook,20
tickets,55
b. b. c. news world news,22
what is the time central,0
what's the best pizza shop nearby,19
book a train ticket to boston tomorrow,2
is ll cool j. still rapping,49
secure train passage for me on july three,2
is there email id of john in the list,17
what are the measurements of a rubix cube,49
we need milk,21
start coffee,56
turn on my alarm,48
please set my alarm clock for eight am,48
remember to put carrots in there,21
forward email address to my new email,33
do i have any meeting tomorrow morning,32
order two cheeseburgers from wings n. ale on university drive,16
ask amazon dot com customer service when i can expect my refund using twitter,47
change the lights to my favorite color,1
overall day,12
i have already given mark his gift today please remove him on my christmas gift list,53
i want to hear one oh three point one,36
after this song ends i want to hear hotel california next,45
olly how much time to cook pasta,9
delete my workout from today,30
how can i find tickets to the super bowl for under dollars each,12
what hiking trail in the smoky mountains would be the best in terms of the nicest waterfall to see,12
start the audiobook file for where i left off in a tale of two cities,20
how is the traffic right now,11
play some tracks by michael jackson,45
book a business class seat on the next train to new york city,2
my day went pretty well today,12
how do i get from where i'm at to universal in orlando florida,42
book a ticket for me on a train to get to boston tomorrow what is available,2
please play rap music,45
status of weather,13
what is the value of the yen right now,4
how many seconds are left to complete this hour,0
book me the cheapest train ticket to new york,2
turn all the lights off,40
is it going to be sunny next week on tuesday,13
down the speaker volume at the end of level,46
send a copy of the bills to mecky by email,33
tweet to the bbb that burger king is too expensive,47
olly name stores within ten mile radius with music,19
what to do today,59
can you let me know when it's two hundred,50
get me the news from uc web,22
what is the result of two by two,39
how many meetings are on my calendar today,32
are there any concerts this week,6
deactivate the socket,8
delete list,53
i go with black sunglasses or not,13
alarm me at eight am,48
please give me the name of all my lists,59
please show me detail of previous played song,57
give me more information about the scheduled event on the thirtieth of march alexa,32
confirm i have set an alarm for six am,23
start my jazz playlist,45
please check on the rock concerts scheduled this weekend,6
i have a event clock remind me,50
could you delete this event,30
i emailed conrad a week ago please remind me what i wrote,44
let me see the latest in the news,22
who is this,57
turn off all alarms,52
what happened to fergie,12
search local events in zip code twelve thousand one hundred and twenty one,6
add new songs to playlist,21
give me the time in p. s. t.,0
don't ever play old list again,53
turn the lights down,31
check weather update for lagos this week,13
show a new list,21
olly add dinner with jane on february twelfth at six p. m.,50
what's going on,6
i eat breakfast at eight am,12
i hope it is sunny weather there,13
i want you to mute,46
play true love next,45
what's the stupidest question anyone ever asked you,12
when is it suppose to be above fifty again,13
search this object's definition,26
what's it like outside,13
what kind of free activities can i do locally this week,6
not a good day,12
please play jingle bells in media folder,45
please schedule a meeting with my secretary,50
buy a train ticket,2
play animal farm,20
what alarms do i have set for today,23
olly how do i start making lobster bisque,9
what day is this event scheduled for,32
what year did elvis die,49
tell me the latest news from b. b. c. sports,22
could you please turn on the plug,24
send email to mommy that i'll be going the party,33
play top ten,45
would you open the email and i would like to compose a new one,33
please increase the brightness in this room,18
turn on vacuum cleaning,34
tell me current situation of traffic near central park road,11
is it going to be nice out this week,13
olly give me the most recent stuff you have angelina jolie,12
que song let it burn,45
do i need a raincoat day after,13
how much can i bleed before i die,12
play music for me,45
give me the weather for merced at three p. m.,13
is there anything on my list today,59
july three calendar,32
current date time,0
play musician play list,58
i was wondering how would you look,12
when the meeting start,32
tell me how to cook a cheese souffle,9
what is the linear equation,39
make a list of management staff for the twentieth october meeting,50
is there any new message from person a,44
what type of learning system do you use,12
call sarah,50
i need an email to be sent to sdfa at hotmail dot com,33
how will be the weather today in the afternoon,13
save my song preferences on playlist,43
do you think today will be nice out,12
delete item four,53
please go to the local sports talk show on the radio,36
i do not enjoy this song,7
on twenty third march i have to go to meet my aunt,50
for what is famous ellen degeneres,49
will they deliver to me,3
how many centimeter make one foot,39
home town weather,13
play for me the game temple run,51
upcoming events information,32
what are the train times at millennium station departing toward indiana today,42
start list,21
olly turn on any song by tupac,45
will the temperature be above freezing on wednesday,13
tell me all my lists,59
please make the room brighter,18
send a reply to that email,33
a new list to be created by tomorrow,21
olly what's next,12
could you please book me a taxi going to location,54
could you please set an alarm at six am,48
do you expect sun on sunday,13
add event to calendar and repeat,50
olly can you please add my dinner reservations to my calendar,50
how is traffic on the highway,11
how old is jennifer garner,49
music one,20
where is justin beiber from,49
what are the most recent headlines on c. n. n.,22
what was the stock price for google yesterday,4
in this country what is the exchange rate,10
play the god of small things,20
re add eggs to the list,21
please resume my music,45
moderate,12
mobile device explanation,26
is it going to rain later today,13
what's the description for the alarm at eleven am,23
give me the best pizza deals offered today,16
how many people live in los angeles,49
where to buy a train ticket,42
turn off the room light,40
what's going on in the world right now,22
what is on my calendar today,32
lower the lighting,31
get me to the nearest train station,42
is it sunny,13
place a take out order at olive garden,16
exchange rate from cad to u. s. d.,10
what do you use to make cookies,9
set a recurring event in my calendar,50
newly launched four wheelers,22
email to pawel regarding latest news,33
name a rom com movie playing in and around new york theaters,55
google i wanted to hear my country music playlist,45
increase the volume to max please,14
please set a reminder for my five p. m. meeting today,50
decentralized design,12
search for new stuff on that subject,22
could you play you don't bring me flowers,45
what's the capital of new york,49
pull up trump stories,22
louder please,14
show me my social media notifications,27
turn up music please,14
what's a fuel rail injector,26
what's going on in cincinnati,6
get me the top news from huffington post,22
can you please tell me the time,0
u. s. d. to g. b. p.,10
please play the local latin music channel on the radio,36
how is the weather outside,13
get rid of the wednesday list,53
please schedule meeting with ri at ten am on april first,50
play this radio channel for me,36
events description,32
what's the weather today,13
play next on podcast,58
please play rock music,45
check my mailbox and let me know if there is any mail post seven am today,44
look up the meaning of logic,26
snooze,52
what is the current stock price of samsung,4
chicago time,0
compare more of countries,49
please delete all meetings of today after seven p. m.,30
remove my earliest alarm for tomorrow,52
delete the list brads appointments,53
play the newest morning show podcast,58
where do you live,12
send an email to my wife about next week weather,33
earth info,49
clear the dust and then on the cleaner,34
name the people that sent me an email today,44
hey olly what is on the radio right now,36
make sure to call the babysitter for date night on friday,50
what will the weather be like in oklahoma city on monday,13
can i get a recap of what is going on with sprint right now,22
where is the hottest desert located,49
look up news articles about trump,22
contact customer service,47
show timings,55
find the right amount of cinnamon for the garam masala,9
show me the time now in boston,0
can you search c. n. n.,58
do i need a hat,13
which date is on next monday,0
play funk music,45
local area events,6
select the type of meal whether a break fast lunch dinner,9
please play classical music,45
do i have any events going on this weekend,32
turn off the lights please,40
hey what's a head cheese,26
did i ask you to remind me of anything,32
update profile on twitter,47
can you remove the last list for me,53
fix the lights in the living room to red,1
remove next event in calendar,30
mike will send me an email tomorrow can you please set up an alarm fifteen minutes after receiving that email,48
why do starving people keep having kids,12
remind me to call my daughter first thing on thursday to wish her happy anniversary,50
tell me the name of the artist whose song is in the movie i am watching,12
is it going to be sunny this weekend,13
play radio program name,36
could you change the lights color to green please,1
call peking garden,16
download and save song of dangal movie,43
let me listen to the latest lovett or leave it podcast,58
set an alarm for thursday at seven p. m.,48
remind me to go grocery shopping today,50
resume play where i left off in book on audible,20
how bad is traffic this morning,11
its hot today,13
have i gotten any emails from amazon in the last two days,44
play music by taylor swift,45
what event is next,32
low the volume,35
order a ham and cheese sandwich from subway,16
change the plan of meeting,30
tweet complaint to at,47
i am in need of some pizza what's the closest place that delivers,16
how many inches are in a foot,49
what is tomorrows date,0
is there anything exciting on twitter today,27
send email to grandma subject saturday message we are dropping by on saturday see you then,33
there is an email i need you to send my friend,33
is elizabeth taylor still alive,49
what's going on outside,13
enjoyment,45
tell me background family of selena gomez,49
is there a way to pull up information about a contact,17
did i get anything new from my boss,44
few traffic roads,11
how much does an orange weigh,49
schedule a meeting with al on tuesday,50
show me all the shops that i can find in milan,19
what is my upcoming calendar event,32
create an event with location home and with event new year's eve,50
tell me what time it currently is,0
check inbox,44
book a taxi to airport for me in the evening,54
send a poor review to this pf chang's yelp page,47
when was the song playing now released,57
is mothers day on a sunday,32
is there a take-out menu at the restaurant,3
when is the yearly cultural event coming up,6
when am i busy this month,12
tell me a joke please,25
do i have any new inbox message,44
list upcoming events in new york,6
turn off the bass from the audio,35
change alarm setting,48
today is fifth march is it or not,0
open all mails from steffi,44
turn off wifi when you leave home to save power,8
olly what time is it in california,0
add to calendar doctor k. at three hundred and thirty p. m. on march seven,50
list the latest apple stock prices,4
tweet a customer complaint to the subway website,47
is this my sisters cell phone number,17
status of my restaurant order,3
olly what is the traffic like,11
i am no longer attending the wedding on the tenth so remove it from my calendar,30
do i have any meetings tomorrow,32
please send dad an email asking about the weather in new jersey,33
olly is swat a good movie,55
flag me an uber for ten p. m. tonight,54
set a notification for my twelve p. m. meeting fifteen minutes before,50
today was okay,12
i need to book a train ticket to la,2
lower the volume on the speakers,35
next episode please,58
play enrique iglesias song after this one,45
can i see the next episode of the podcast,58
set an alarm for me for tomorrow,48
complain to the d. m. v. office about the excessively long line,47
tweet a complaint to amazon about late shipment,47
calculate ohm's law based on these values,49
weather forecast for this week,13
what is skynet,26
what is the current exchange rate between the dollar and the euro,10
do i have anything planned today,32
trending hot news topics,22
hey olly what time does the four train leave the station,42
can you read me my latest emails,44
transit,11
tune in to my favorite radio station please,36
is my calendar free for thursday,32
are the falklands in south america,49
olly do i need to bring a coat today,13
change the lights in the house to green,1
tell me the date,0
when is john's birthday,17
on my grocery list please add oranges,21
please lower the speaker volume,35
what's my calendar today,32
make a new contact with this email,15
hi send i love you message to my wife,33
what does word mean,26
will you please put something something at gmail dot com in my contacts,15
book a train ticket to new york,2
start a new grocery list,21
what restaurant is open after midnight,19
remind me to take my medicine every day at seven p. m. for the next two weeks,50
what important dates are there in my calendar this month,32
play only songs by the beatles please,45
what is the point of a banana,26
set alarm at five thirty am,48
olly remove item from my list,53
where is the best vacation spot in california,49
make the room blue,1
remind me about my next meeting with joe one hour before,50
please mark my calendar for therapy every tuesday at eleven am,50
remind me about next meeting in advance,50
today is sunny day or not,13
tell me which stocks were the biggest gainers in stock market nasdaq today,4
tweet a complain about my shoe color on flipkart,47
check unread emails,44
how to spell the word treble,26
what are the titles of the lists in contacts,59
what did i get emailed about this week,44
do i need snow boots,13
when is my dentist appointment,32
remind me everyday at five am,50
start up a bjork album for me,45
can you please turn off my wemo plug,8
start the next episode in a podcast,58
can i find the cheapest train ticket for this destination,42
add to calendar a home visit everyday this week,50
please check my inbox for any new emails in last twenty minutes,44
what is the cost of iphone seven,49
show me reminders on tomorrow,32
how long do you cook a whole chicken on three hundred and fifty,9
what day is christmas,0
delete my shopping list,53
tell me latest technology news,22
write this complaint to comcasts customer service twitter,47
we don't expect rain tomorrow right,13
sunset temperature today,13
can we turn up the lights,18
what do i have planned next monday from noon to three,32
why people who reads may not be the most courteous and well born,12
put on some techno music please,45
please turn off my patio lights,40
i need you to start f. m. eight hundred and ninety radio channel,36
remind me to go grocery shopping for the party on sunday,50
i need to edit marie jones email address to read,33
turn off all of my alarms,52
is warren buffet is investing in my listed stocks,4
west,26
convert ten inches to centimeters,39
send a tweet to kroger about being overcharged for groceries,47
is there any birthday on june,32
how do you make cookies,9
describe a seashell,26
make a jars of clay playlist for me,45
hey today i was fired from my job,12
what meetings occurred between january one and january twelve,32
add a meeting with my mother for next sunday,50
wake up olly,12
time now in new york,0
can you delete the doctors appointment i had tuesday,30
please send the new intern an email,33
let me know about current traffic in carmen drive,11
find me the definition of indefatigable,26
go to social media and post the following status,47
mute,46
hey olly i am having a bad day today what can i watch to cheer me up,12
enter this to a list,21
is it going to be cloudy in london during the weekend,13
remove frida from contacts,53
weather in florida this week,13
remind me after a month,50
can you find out the latest world news from yesterday,22
turn off the kitchen lights,40
how will be the weather today in the evening,13
make a facebook post i'm home,47
dim the living room lights,31
what do i have for today,32
i want to play the next episode of this podcast,58
how would i use formidable in a sentence,26
remove noodles from the list,53
mute for two hours,46
open the country favorites playlist and play it on shuffle,58
where is it hottest on earth,49
define word,26
what's happening in football today,22
resume audiobook player,20
how many records did prince make,49
alexa i want to check julia's available dates so would you send her mail and ask about it,33
ok google mute sound on speakers please,46
are there any new emails from my dad,44
what day does my birthday fall on this year,0
can you add name location to calendar,50
what am i doing this week,12
please advise what the current news is on fox news,22
what was the weather report for today,13
find my thai takeaways around grassmarket,3
what events do i have for this coming week,32
jump to the next podcast,58
order a large pan pizza with ham and mushrooms from pizza hut,16
did paul email me recently,44
what items did i plan to buy,59
tweet complaint to customer care,47
let's take over the world together,12
what's the weather,13
what is your mood today,12
i have dinner with my sister this saturday,50
what's the weather for this week,13
what day is the twentieth this month,0
open the site bbcnews dot com,22
can i get an uber home from the fox downtown as soon as possible,54
what is today's weather,13
is this event date right,32
is there a canoe shop around here,19
what would be something fun to do today,12
i need to hear sound on my speakers,14
calendar,50
remove this event from my calendar,30
set alarm at ten am,48
have i got any new email from my company,44
are there any takeaways around here,3
where can i buy sports equipment near me,19
hi to all,50
can you tell me what date it is,0
notify me when this meeting is close,50
what can you do,12
turn up the volume,14
i want to hear my favorite song,45
schedule me a taxi for after my thursday meeting,54
create a new list by tomorrow,21
the list should contain this item,21
tweet a complaint to amazon about delayed shipment,47
please book the five p. m. train to rockville,2
i'd like to get on the next train that will be departing indianapolis headed to chicago,2
close the light,40
what about the new york city traffic,11
tune best topic,36
insert this item,21
i'm going to the oar concert in paris on march twenty four,50
get me a recipe,9
add apahelp at yahoo dot com to my contacts,15
search on his interests,49
start the radio,36
can you give me details on john,17
how busy am i this week,32
bring up my latest emails,44
delete my christmas holiday list,53
switch on the vacuum cleaner,34
how many bucket fulls would it take to empty the dead sea,12
remind me about the meeting with dentist on the twenty third of may,50
send an email,33
see if there is something related to my job,12
